OBJECTID,StaType,StnType,ZipCode,State,City,Address,Station Name,lon,lat,Code
767,Platform with Shelter,TRAIN,24011,VA,Roanoke,55 Norfolk Avenue SW,"Roanoke, VA",-79.941795,37.273185,RNK
768,Station Building (with waiting room),TRAIN,89501,NV,Reno,280 North Center Street,Reno,-119.812123,39.528521,RNO
771,Station Building (with waiting room),TRAIN,14605,NY,Rochester,320 Central Avenue,Louise M. Slaughter Station,-77.608057,43.163411,ROC
773,Station Building (with waiting room),TRAIN,13440,NY,Rome,6599 Martin Street,Rome,-75.44996,43.199425,ROM
774,Platform with Shelter,TRAIN,48069,MI,Royal Oak,202 South Sherman Drive,"Royal Oak, MI",-83.14701,42.488439,ROY
776,Platform only (no shelter),TRAIN,5060,VT,Randolph,South Main and Salisbury Streets,"Rensselaer, NY",-72.665459,43.922398,RPH
779,Platform only (no shelter),TRAIN,12979,NY,Rouses Point,68 Pratt Street,"Roseville, CA",-73.371093,44.99487,RSP
780,Platform with Shelter,TRAIN,95678,CA,Roseville,201 Pacific Street,"Reserve, LA",-121.286286,38.750016,RSV
783,Station Building (with waiting room),TRAIN,2090,MA,Westwood,50 University Avenue,"Raton, NM",-71.147894,42.210242,RTE
784,Platform with Shelter,TRAIN,61866,IL,Rantoul,East Grove Ave and North Kentucky Ave.,Rantoul,-88.159126,40.310905,RTL
786,Station Building (with waiting room),TRAIN,5701,VT,Rutland,25 Evelyn Street,James M Jeffords Station ,-72.981538,43.605756,RUD
787,Station Building (with waiting room),TRAIN,58368,ND,Rugby,201 West Dewey Street,"Rugby, ND",-99.997556,48.369846,RUG
788,Station Building (with waiting room),TRAIN,23219,VA,Richmond,1500 East Main Street,Main Street Station,-77.429512,37.534209,RVM
789,Station Building (with waiting room),TRAIN,23228,VA,Richmond,7519 Staples Mill Road,Staples Mill Road Station,-77.496943,37.617693,RVR
791,Station Building (with waiting room),TRAIN,5478,VT,St Albans,40 Federal Street,"Saco, ME",-73.086191,44.81236,SAB
792,Station Building (with waiting room),TRAIN,95814,CA,Sacramento,401 I Street,Sacramento Valley Station,-121.500704,38.584004,SAC
795,Station Building (with waiting room),TRAIN,28144,NC,Salisbury,215 Depot Street,Salem,-80.466323,35.667496,SAL
796,Station Building (with waiting room),TRAIN,92101,CA,San Diego,1050 Kettner Boulevard,San Diego Santa Fe Depot,-117.169576,32.716169,SAN
797,Station Building (with waiting room),TRAIN,4072,ME,Saco,138 Main Street,"San Antonio, TX",-70.449139,43.496191,SAO
799,Station Building (with waiting room),TRAIN,12866,NY,Saratoga Springs,26 Station Lane,Saratoga Springs,-73.810027,43.08281,SAR
800,Station Building (with waiting room),TRAIN,78205,TX,San Antonio,350 Hoefgen Street,"Sasabe, AZ",-98.478143,29.41935,SAS
802,Station Building (with waiting room),TRAIN,31401,GA,Savannah,2611 Seaboard Coastline Drive,Savannah,-81.148264,32.083412,SAV
804,Station Building (with waiting room),TRAIN,93101,CA,Santa Barbara,209 State Street,Santa Barbara,-119.692785,34.413718,SBA
805,Station Building (with waiting room),TRAIN,33870,FL,Sebring,601 East Center Avenue,Stroudsburg,-81.434202,27.496632,SBG
808,Station Building (with waiting room),TRAIN,59474,MT,Shelby,230 West Central Avenue,Shelby,-111.856649,48.506748,SBY
809,Station Building (with waiting room),TRAIN,L2S 2K3,ON,St. Catharines,5 Great Western St.,"Santa Clara, CA",-79.256017,43.147829,SCA
810,Platform with Shelter,TRAIN,95050,CA,Santa Clara,1001 Railroad Avenue,Transit Center,-121.936576,37.353219,SCC
811,Station Building (with waiting room),TRAIN,56304,MN,St. Cloud,555 East Saint Germain Street,St. Cloud,-94.149093,45.567748,SCD
812,Platform only (no shelter),TRAIN,70395,LA,Schriever,145 Burlington Court,"Schenectady, NY",-90.815246,29.746678,SCH
816,Station Building (with waiting room),TRAIN,70458,LA,Slidell,1827 Front Street,"Sandusky, OH",-89.782565,30.278372,SDL
817,Station Building (with waiting room),TRAIN,12305,NY,Schenectady,332 Erie Boulevard,Schenectady,-73.942892,42.814724,SDY
818,Station Building (with waiting room),TRAIN,98104,WA,Seattle,303 South Jackson Street,Seattle King Street Station,-122.330161,47.598445,SEA
819,Station Building (with waiting room),TRAIN,65301,MO,Sedalia,Pacific Street and North Osage Avenue,"Sedalia, MO",-93.228706,38.711604,SED
